Glass_number,Filename,Si_O_Si_Bond_angle,O_Si_O_bond_angle,number_bridge_oxygen,env_chem_si,env_chem_al,Activation_barrier,initial_water_si_distance,Stress,Shear
glass_num_4,O_424_Si_617,168.774238,167.7971441,4,4,0,2.258925109,3.321,-0.304351386,0.125085443
glass_num_4,O_400_Si_628,158.8088401,164.3280048,4,4,0,1.648391982,3.282,-0.21986591,5.03E-02
glass_num_4,O_238_Si_632,138.0927048,173.7993538,4,4,0,0.796861255,2.794,-0.231393066,7.89E-02
glass_num_4,O_415_Si_640,164.4281003,163.0794594,4,4,0,1.205549936,3.223,-0.282207065,0.151286136
glass_num_4,O_472_Si_643,131.4376758,175.951849,3,3,0,1.102110286,3.201,-0.260461937,0.120583775
glass_num_4,O_499_Si_658,175.3635754,167.7162957,3,3,0,0.98593597,3.193,-0.209896179,8.62E-02
glass_num_4,O_328_Si_667,159.8284929,151.1372121,4,4,0,1.484155838,3.283,-0.185935498,0.100436913
glass_num_4,O_406_Si_679,143.8082729,119.3678558,4,4,0,0.763968325,3.416,-0.20280347,7.38E-02
glass_num_4,O_373_Si_682,163.8104636,162.2894444,3,3,0,0.838516736,3.272,-0.174157259,5.65E-02
glass_num_4,O_193_Si_691,170.4719143,173.6007965,3,3,0,1.77341759,3.109,-0.211752524,6.92E-02
glass_num_4,O_235_Si_692,160.5149108,168.0218296,4,4,0,1.44125456,3.24,-0.253736297,5.17E-02
glass_num_4,O_184_Si_702,136.3062879,170.1081794,2,2,0,0.978651466,3.416,-0.148612438,0.175120953
glass_num_5,O_94_Si_565,133.7355123,167.0401363,4,4,0,0.705675051,3.498,-0.193901345,0.156898469
glass_num_5,O_217_Si_566,167.1689671,173.8203095,4,4,0,1.28533007,2.821,-0.183545899,0.154505081
glass_num_5,O_352_Si_567,154.7201803,177.3845239,4,4,0,1.23320894,2.836,-0.209305066,8.17E-02
glass_num_5,O_22_Si_569,159.5360354,166.9355231,4,4,0,1.043476258,3.479,-0.124659027,0.178520122
glass_num_5,O_424_Si_570,148.8551214,173.8751112,4,4,0,0.48284264,3.443,-0.278517965,0.104217162
glass_num_5,O_232_Si_575,145.0911829,174.4638857,4,4,0,1.261544514,3.181,-0.155346454,0.111783581
glass_num_5,O_214_Si_581,147.2819019,150.8902141,3,3,0,1.171164724,3.474,-0.219864121,7.33E-02
glass_num_5,O_208_Si_585,135.073711,91.94076238,4,4,0,0.483077752,2.984,-0.173773814,0.137398509
glass_num_5,O_496_Si_586,153.305041,155.4898122,3,3,0,0.930511887,3.043,-0.238919399,9.43E-02
glass_num_5,O_226_Si_592,163.8153574,170.9434536,3,3,0,1.206457332,3.352,-0.293677832,4.92E-02
glass_num_5,O_553_Si_598,156.8381305,178.0384478,2,2,0,1.221989393,3.387,-0.253080797,9.51E-02
glass_num_5,O_463_Si_603,127.1914335,160.9371239,4,4,0,0.415434858,2.71,-0.252849405,8.49E-02
glass_num_5,O_412_Si_609,159.7928331,172.1917481,3,3,0,1.038435741,3.179,-0.257936769,9.17E-02
glass_num_5,O_235_Si_624,157.2578432,154.6102886,4,4,0,1.472636125,3.27,-0.25140668,6.14E-02
glass_num_5,O_454_Si_625,142.7783317,162.741328,4,4,0,1.207805584,3.094,-0.27003676,7.72E-02
glass_num_5,O_457_Si_626,146.2097666,175.1617078,4,4,0,1.12775893,3.104,-0.216672261,7.46E-02
glass_num_5,O_316_Si_633,149.5094938,163.9386327,3,3,0,0.955477552,3.471,-0.215992156,7.31E-02
glass_num_5,O_79_Si_639,159.3759613,167.6452003,4,4,0,2.166644639,3.345,-0.222275299,7.39E-02
glass_num_5,O_556_Si_646,141.3043028,169.8149741,4,4,0,0.439788505,2.945,-0.248541532,0.107478414
glass_num_5,O_7_Si_651,164.194557,59.51139918,4,4,0,1.194524561,3.26,-0.234861995,8.17E-02
glass_num_5,O_52_Si_664,168.8907918,142.3579273,4,4,0,0.67852453,3.462,-0.215509766,0.24051788
glass_num_5,O_541_Si_686,131.5152934,168.9670171,3,3,0,0.772399005,3.125,-0.194871107,0.154047143
glass_num_5,O_505_Si_689,171.871111,167.4554066,3,3,0,0.372292336,3.218,-0.26687095,0.13938416
glass_num_6,O_94_Si_582,143.1775662,167.8457711,3,3,0,1.763812704,3.238,-0.176874895,9.23E-02
glass_num_6,O_352_Si_590,147.132743,174.242796,3,3,0,1.64805204,3.052,-0.222553445,7.66E-02
glass_num_6,O_301_Si_591,130.7248218,171.2920812,4,4,0,0.495903691,3.348,-0.162556912,0.148840702
glass_num_6,O_10_Si_602,149.3900958,161.0887424,4,4,0,1.085921726,2.99,-0.21242041,0.13286417
glass_num_6,O_514_Si_603,126.1355015,159.2265454,3,3,0,0.685183949,3.013,-0.21670725,0.203563748
glass_num_6,O_244_Si_617,158.3339606,168.9204705,4,4,0,1.792917981,3.212,-0.245649194,8.48E-02
glass_num_6,O_421_Si_619,134.7456065,174.7472174,4,4,0,1.01245955,3.267,-0.23161433,0.125930145
glass_num_6,O_97_Si_622,145.3996089,164.1787028,4,4,0,1.345946353,3.312,-0.26620918,8.52E-02
glass_num_6,O_55_Si_625,148.9677003,156.7562565,4,4,0,0.744073943,3.438,-0.263072145,8.87E-02
glass_num_6,O_442_Si_628,140.5057636,150.9966692,4,4,0,0.563286626,3.264,-0.246420627,0.132946692
glass_num_6,O_187_Si_633,138.0359928,175.8699042,3,3,0,1.327177385,2.82,-0.212933273,0.117885858
glass_num_6,O_250_Si_634,143.5127317,167.0002852,4,4,0,0.97783764,3.265,-0.31440465,0.111203566
